ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity
hin,Hindi,Indo-European,Indic,1.7816118,8.924057961,0.317888826,0.530761898,25,180122200,345790.8285,1
pjt,Pitjantjatjara,Australian,S-Australia,,,0.158227846,0.525757551,11,2120,336427.3019,0
pol,Polish,Indo-European,Europe,1.939730644,10.20867348,0.011101501,0.52976191,14,37794600,312244.7644,1
fin,Finnish,Uralic,Inner-Asia,1.720209122,10.4171133,0.047842007,0.477014661,26,4739460,309002.851,1
adx,Amdo Tibetan,Sino-Tibetan,Inner-Asia,,,0,1,1,810000,283909.6202,0
bej,Bedawi,Afro-Asiatic,N-Africa,,,0,0.66980952,25,1109000,283589.7984,0
ffm,Maasina Fulfulde,Niger-Congo,African-Savannah,1.724166155,9.418698311,0,,,1001200,281981.0494,0
ron,Romanian,Indo-European,Europe,1.785113215,9.298270226,,0.472222209,18,22610000,273969.8567,1
ayr,Central Aymara,Aymaran,Andean,1.527080059,11.7001133,0,,,2262900,252666.8456,0
kir,Kirghiz,Altaic,Inner-Asia,1.708469272,10.88801479,,0.774999976,8,2674750,245483.2442,1
tel,Telugu,Dravidian,Indic,1.757886529,11.12384987,0.063096024,0.699999988,10,69600600,242916.4054,1
ita,Italian,Indo-European,Europe,1.794526577,9.348044395,0.046422314,0.384803921,17,57191010,241796.5491,1
lol,Mongo-Nkundu,Niger-Congo,S-Africa,,,0,0.5,2,400000,223865.0189,0
wbp,Warlpiri,Australian,S-Australia,1.281276107,11.16785336,0,0.78125,8,2670,221213.0751,0
sna,Shona,Niger-Congo,S-Africa,1.617569447,11.13432312,0.199487984,0.75,8,10741200,219330.1448,1
kmr,Northern Kurdish,Indo-European,,1.816454887,8.819454193,,0.773076952,9,8178000,218242.8852,1
mya,Burmese,Sino-Tibetan,Southeast-Asia,1.258251786,,0.233232886,0.334474206,24,32300000,214756.8114,1
mar,Marathi,Indo-European,Indic,1.792482376,10.38166142,0.040119953,0.560416639,12,68000000,208530.9996,1
bel,Belarusan,Indo-European,Inner-Asia,,,,0.75,4,6720000,207604.6622,1
ben,Bengali,Indo-European,Indic,1.734662533,9.909982681,0.073428541,0.5,5,180623600,201287.6053,1
kpv,Komi-Zyrian,Uralic,Inner-Asia,1.806167126,10.56236649,0,0.416666657,3,217000,196500.0134,0
oci,Occitan,Indo-European,Europe,,,,0.75,1,2043810,194319.3024,1
ckt,Chukot,Chukotko-Kamchatkan,N-Coast-Asia,,10.50463009,0,0.519472778,28,7740,186833.6406,0
quh,South Bolivian Quechua,Quechuan,Andean,1.43941927,11.28302002,0,0.166666672,3,3635000,183332.2239,0
tzm,Central Atlas Tamazight,Afro-Asiatic,N-Africa,,,0,0.309161484,12,3000000,167842.3861,0
shu,Chadian Spoken Arabic,Afro-Asiatic,African-Savannah,1.506076694,9.119730949,0.042865891,1,1,1076000,166361.5703,1
her,Herero,Niger-Congo,S-Africa,,,0,0.5,2,237000,165253.9635,0
hak,Hakka Chinese,Sino-Tibetan,Southeast-Asia,1.520364881,8.879579544,2.09E-05,1,1,28070000,162903.7283,1
arn,Mapudungun,Mapudungu,Andean,1.493659496,8.50596714,0,0.503113568,26,300000,160095.4668,0
zne,Zande,Niger-Congo,S-Africa,,,0.080515295,0.971428573,7,1142000,159594.9379,1
tuk,Turkmen,Altaic,Inner-Asia,,,,1,2,5930000,155580.1164,1
tha,Thai,Tai-Kadai,Southeast-Asia,1.589943886,8.664255142,0.660626888,0.12605311,26,20230000,154283.5762,1
aeb,Tunisian Spoken Arabic,Afro-Asiatic,N-Africa,,,,0.5,3,9000000,152938.6143,1
lub,Luba-Katanga,Niger-Congo,S-Africa,,,0,0.666666687,3,1510000,151247.0594,0
tam,Tamil,Dravidian,Indic,1.526055574,11.73861217,0.105310559,0.43921569,9,65296000,151188.9453,1
ary,Moroccan Spoken Arabic,Afro-Asiatic,N-Africa,,,0.180147216,0.615384638,13,20140000,145407.3953,1
amh,Amharic,Afro-Asiatic,Greater-Abyssinia,2.272248268,11.57164383,0.154909551,0.54285717,21,17400000,145259.6047,1
acm,Mesopotamian Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,,0.800000012,10,14600000,144255.8299,1
khm,Central Khmer,Austro-Asiatic,Southeast-Asia,1.383641601,,0.057504181,0.20037879,22,13370400,141254.2386,1
kan,Kannada,Dravidian,Indic,1.629153848,11.23656178,0.192558512,0.636630058,26,35300000,140012.4546,1
ell,Greek,Indo-European,Europe,1.757701874,9.221045494,0.004339719,0.451913267,28,11792480,139927.6003,1
naq,Nama,Khoisan,S-Africa,1.679337978,8.733511925,0,0.396031737,24,251100,139925.7656,0
prs,Eastern Farsi,Indo-European,Inner-Asia,1.874601126,9.088378906,,1,1,5600000,138887.9365,1
bam,Bamanankan,Niger-Congo,African-Savannah,1.534713864,7.732859135,0.709401965,0.464743584,13,2772040,138520.6738,1
xho,Xhosa,Niger-Congo,S-Africa,1.749359846,11.7923975,0.573834181,0.600000024,10,7808000,136847.1662,1
snd,Sindhi,Indo-European,Indic,1.854580879,9.25975132,,0,1,21315000,135029.8144,1
plt,Plateau Malagasy,Austronesian,,1.433862567,9.040765762,,0.308774263,27,7520000,134715.0786,1
aar,Afar,Afro-Asiatic,Greater-Abyssinia,,,0.011452682,0.280000001,5,1078200,133875.7943,1
nya,Nyanja,Niger-Congo,S-Africa,1.595801353,10.09235191,,0.857142866,7,8402000,132569.7796,1
azb,South Azerbaijani,Altaic,Greater-Mesopotamia,1.79471612,10.92284584,,0.86388886,9.5,12330000,132020.1074,1
lun,Lunda,Niger-Congo,S-Africa,,,0,0.666666687,9,628000,131662.8803,0
yua,Yucatán Maya,Mayan,Mesoamerica,1.39572382,8.573204041,0,0.5625,4,706000,130722.2279,0
cax,Chiquitano,Language-isolate,NE-South-America,1.394480467,9.44640255,0,1,4,5860,130039.8514,0
aly,Alyawarr,Australian,S-Australia,1.223400712,10.65886497,0,0.847222209,12,1450,128476.9045,0
esu,Central Yupik,Eskimo-Aleut,Alaska-Oregon,,,0,0.804545462,22,16900,127591.7769,0
zul,Zulu,Niger-Congo,S-Africa,1.714516044,11.64184284,0.571488917,0.684082866,27,10231000,126779.7437,1
yue,Yue Chinese,Sino-Tibetan,Southeast-Asia,,,,0.168750003,16,52025130,124776.622,1
bem,Bemba,Niger-Congo,S-Africa,1.614843965,9.66797924,,,,3600000,122798.0485,1
sot,Southern Sotho,Niger-Congo,S-Africa,1.558546305,8.098381996,0.569410384,0.458333343,6,6010000,122787.1752,1
guj,Gujarati,Indo-European,Indic,1.773939252,10.26447964,,0.571428597,7,45544800,121962.4685,1
kca,Khanty,Uralic,Inner-Asia,,,0,0.567307711,13,13600,121117.1732,0
gdq,Mehri,Afro-Asiatic,Greater-Mesopotamia,,,0,0.530303001,11,121400,120798.8793,0
zag,Zaghawa,Nilo-Saharan,African-Savannah,,,0,0.666666687,9,169000,119790.1344,0
ayn,Sanaani Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,0,1,1,7600000,119383.3202,0
hun,Hungarian,Uralic,Europe,1.833512187,10.09337997,,0.558163285,28,12173900,119364.673,1
esk,Northwest Alaska Inupiatun,Eskimo-Aleut,Alaska-Oregon,1.742238641,12.51725674,0,,,2420,116340.0538,0
kdd,Yankunytjatjara,Australian,S-Australia,,,0,1,2,73,116030.5655,0
bxr,Russia Buriat,Altaic,,1.701902509,11.25463486,0,,,369000,114292.129,0
guh,Guahibo,Guajiboan,NE-South-America,1.112526178,9.937648773,0,,,34200,113026.5326,0
jav,Javanese,Austronesian,Southeast-Asia,1.469951987,9.605233192,0,0.083333336,3,84300000,112817.6016,0
fvr,Fur,Nilo-Saharan,African-Savannah,,,0,0.594444454,15,501800,112631.7269,0
lue,Luvale,Niger-Congo,S-Africa,,,,0.600238085,25,632000,106175.9851,1
tso,Tsonga,Niger-Congo,S-Africa,1.496953487,8.242357254,0.402891338,0,2,3650000,105055.0169,1
bak,Bashkir,Altaic,Inner-Asia,1.837756038,10.90820408,0,0.666666687,12,1380000,104855.7169,0
yrk,Nenets,Uralic,Inner-Asia,,,0,0.308387458,11.5,31300,104020.2669,0
tgk,Tajiki,Indo-European,Inner-Asia,1.75415504,9.460172653,,0.5,10,4274000,103849.7654,1
bul,Bulgarian,Indo-European,Europe,1.853803515,9.314760208,,0.4765625,16,8775000,101895.8359,1
yor,Yoruba,Niger-Congo,African-Savannah,1.591739893,8.054080963,0.095040321,0.177848637,28,18900000,101891.0806,1
shi,Tachelhit,Afro-Asiatic,N-Africa,1.789218068,11.56984425,0,0.888888896,9,3000000,101779.0724,0
mpj,Martu Wangka,Australian,S-Australia,,,0,0.200000003,1,720,100501.0031,0
fuh,Western Niger Fulfulde,Niger-Congo,African-Savannah,1.710771441,9.473722458,0,,,1230000,98569.2812,0
yao,Yao,Niger-Congo,S-Africa,,,0,1,3,1916000,97332.27566,0
nus,Nuer,Nilo-Saharan,African-Savannah,1.647298694,8.375908852,0.001252628,0.625,8,804900,95486.81619,0
lam,Lamba,Niger-Congo,S-Africa,,,0,0.333333343,3,219000,95336.25653,0
srp,Serbian,Indo-European,,1.950321078,9.818397522,,,,9231300,94861.09452,1
vie,Vietnamese,Austro-Asiatic,Southeast-Asia,1.719424963,8.80608654,,0.14078483,27,67954200,93678.67109,1
mas,Maasai,Nilo-Saharan,S-Africa,,,0,0.589285731,12,1045000,93451.71144,0
kgp,Kaingáng,Jean,SE-South-America,1.332688451,6.87128067,0,0.333333343,3,25875,92814.48058,0
brh,Brahui,Dravidian,Indic,,,0,0.745932519,24,2200000,92379.9524,0
toi,Tonga,Niger-Congo,S-Africa,,,,1,7,1127000,90780.4027,1
bxm,Mongolia Buriat,Altaic,,,,0,0.881944418,12,64900,90670.14735,0
nld,Dutch,Indo-European,Europe,1.690642357,8.753768921,,0.330729157,16,21220000,90175.3317,1
nmn,!Xóõ,Khoisan,S-Africa,,,0,1,1,4200,90000.46133,0
nde,Ndebele,Niger-Congo,,1.709569931,11.68626022,,,,1567000,87062.86112,1
kua,Kwanyama,Niger-Congo,,1.577453017,9.924125671,0.027008777,,,668000,86895.515,1
kld,Gamilaraay,Australian,S-Australia,,,0,0.5,10,3,84764.51909,0
nan,Min Nan Chinese,Sino-Tibetan,Southeast-Asia,1.582466245,8.645025253,,,,40700000,83308.79709,1
isl,Icelandic,Indo-European,Europe,1.856013894,9.369860649,,0.439473689,19,230000,83210.7183,1
knc,Central Kanuri,Nilo-Saharan,,,,0.121876903,0.65192306,26,3240500,82610.1793,1
seh,Sena,Niger-Congo,S-Africa,,,0,1,1,1340000,82364.96766,0
dhm,Zemba,Niger-Congo,,1.5295223,9.685044289,0,,,22000,82266.9418,0
kng,Koongo,Niger-Congo,,1.528210282,9.426164627,0.499176353,0.549479187,16,5000000,81918.91417,1
yey,Yeyi,Niger-Congo,S-Africa,,,0,1,1,24000,80939.61307,0
fub,Adamawa Fulfulde,Niger-Congo,African-Savannah,1.699406743,9.175152779,,0.7890625,16,8518000,80432.94098,1
nso,Northern Sotho,Niger-Congo,S-Africa,1.559254289,7.962450027,0.662733972,0.666666687,6,4090000,78922.94346,1
fuf,Pular,Niger-Congo,African-Savannah,1.667606473,9.004512787,,1,1,2601200,78137.74986,1
ces,Czech,Indo-European,Europe,2.085883617,10.2898283,0.192173973,0.636363626,11,9282000,77514.52025,1
wmt,Walmajarri,Australian,N-Australia,,,0,0,2,860,77263.69553,0
dje,Zarma,Nilo-Saharan,African-Savannah,1.587990046,8.007837296,0,0.333333343,3,2438400,75227.07161,0
tll,Tetela,Niger-Congo,S-Africa,,,0,0.75,4,750000,74545.42549,0
gul,Sea Island Creole English,Creole,,1.531730771,7.672703266,0,,,250000,73046.062,0
nju,Ngadjunmaya,Australian,S-Australia,,,0,0.666666687,6,10,72951.24475,0
ayo,Ayoreo,Zamucoan,SE-South-America,1.38608253,8.537174225,0,1,3,3070,70112.10148,0
uzs,Southern Uzbek,Altaic,,,,,0.784615397,13,1450000,69696.31758,1
tat,Tatar,Altaic,Inner-Asia,1.826362729,10.73754215,,0.291666657,6.5,5351950,69376.39282,1
quy,Ayacucho Quechua,Quechuan,Andean,1.536438227,11.63853264,,1,1,900000,67931.03338,1
mos,Mòoré,Niger-Congo,African-Savannah,1.734273911,8.49669838,,0.625,8,5019700,67122.11797,1
wmb,Wambaya,Australian,N-Australia,,,0,0.608333349,17,12,66586.28916,0
mgh,Makhuwa-Meetto,Niger-Congo,,1.713543296,,0,,,1348000,65541.91471,0
lit,Lithuanian,Indo-European,Inner-Asia,2.026443005,10.62676525,,0.649999976,15,2960000,64856.94135,1
tir,Tigrigna,Afro-Asiatic,Greater-Abyssinia,2.492064953,10.77018929,0.019241968,0.649999976,10,5760000,64071.65211,1
gya,Northwest Gbaya,Niger-Congo,African-Savannah,1.617853284,8.274806023,0,0.53125,8,274500,63583.40556,0
gux,Gourmanchéma,Niger-Congo,African-Savannah,1.469395041,7.794523239,0,,,813000,62941.79597,0
hem,Hemba,Niger-Congo,S-Africa,,,0,1,1,181000,62533.87374,0
tyv,Tuvin,Altaic,Inner-Asia,,,0,0.616666675,15,264400,61423.13116,0
tob,Toba,Guaykuruan,SE-South-America,1.164173841,8.467430115,0,0.75,8,21410,61336.69275,0
ntj,Ngaanyatjarra,Australian,S-Australia,,,0,1,4,990,60507.16642,0
tuv,Turkana,Nilo-Saharan,S-Africa,,,0,0.75,13,476200,60412.15075,0
nym,Nyamwezi,Niger-Congo,S-Africa,,,0,0.699999988,10,980000,60360.82936,0
snk,Soninke,Niger-Congo,African-Savannah,,,0,0,3,1145000,60151.68204,0
nav,Navajo,Eyak-Athabaskan,Basin-and-Plains,,,0,0.506578922,19,149000,59896.65411,0
ung,Ngarinyin,Australian,N-Australia,,,0,0.443749994,20,82,58837.87711,0
nhr,Naro,Khoisan,S-Africa,1.482469201,,0.5,,,14000,58640.93732,1
iba,Iban,Austronesian,Southeast-Asia,1.365732312,8.107653618,0.471602768,0,10,694400,57487.76258,1
aka,Akan,Niger-Congo,African-Savannah,,,0.108530499,0.642857134,14,8300000,57389.31838,1
hne,Chhattisgarhi,Indo-European,,1.78506124,8.680459976,0,,,15000000,57368.12002,0
bgp,Eastern Balochi,Indo-European,,,,0,0.583333313,3,1800000,57314.92058,0
hrv,Croatian,Indo-European,Europe,2.034758091,10.0993681,0.192118526,0.441666663,15,4002900,57020.78824,1
eve,Even,Altaic,Inner-Asia,,,0,0.666666687,9,7170,57012.37435,0
aoc,Pemon,Cariban,NE-South-America,,,0,0,1,6160,56979.50003,0
lch,Luchazi,Niger-Congo,S-Africa,,,0,1,3,209400,56832.41396,0
dik,Southwestern Dinka,Nilo-Saharan,,1.757667899,8.529389381,0,,,450000,55900.20123,0
gub,Guajajára,Tupian,NE-South-America,1.257624269,8.122962952,0,0.600000024,5,15000,55698.99164,0
ndo,Ndonga,Niger-Congo,S-Africa,1.584179401,9.721674919,0,0.583333313,12,1070000,55070.98709,0
cat,Catalan-Valencian-Balear,Indo-European,Europe,1.821865559,9.137113571,0.556430697,0.234375,8,11351000,54965.02623,1
bkc,Baka,Niger-Congo,African-Savannah,,,0,0.533333361,5,43200,54659.37962,0
esi,North Alaskan Inupiatun,Eskimo-Aleut,,1.683728933,11.90941906,0,,,6420,54302.88602,0
lua,Luba-Kasai,Niger-Congo,S-Africa,,,0.100000001,1,1,6300000,53998.3082,1
sin,Sinhala,Indo-European,Indic,1.778150916,10.70245171,0.12337561,0.90625,4,15500000,53976.21493,1
kac,Jingpho,Sino-Tibetan,Southeast-Asia,1.309245467,7.560988903,,0,10,940000,53768.00126,1
pid,Piaroa,Sálivan,NE-South-America,,,0,0.75,8,12280,53405.28992,0
asm,Assamese,Indo-European,Indic,,,,1,6,16709000,53261.9773,1
mch,Maquiritari,Cariban,NE-South-America,,,0,0.857142866,7,5950,52571.08329,0
gun,Mbyá Guaraní,Tupian,SE-South-America,1.470747232,8.481772423,0,,,25400,52559.8449,0
tap,Taabwa,Niger-Congo,S-Africa,,,0,1,3,382000,51937.4096,0
kjg,Khmu,Austro-Asiatic,Southeast-Asia,,,0,0.102192983,19,479500,51681.89294,0
quz,Cusco Quechua,Quechuan,Andean,1.435900331,11.67161465,,,,1500000,51252.65621,1
kwy,San Salvador Kongo,Niger-Congo,S-Africa,,,0,0.666666687,3,865000,51235.6439,0
ewo,Ewondo,Niger-Congo,African-Savannah,,,,0.444444448,9,578000,50801.96222,1
rou,Runga,Nilo-Saharan,African-Savannah,,,0,0.699999988,10,43000,50603.26948,0
pan,Eastern Panjabi,Indo-European,Indic,1.734926701,8.947268486,,0.578571439,21,27100000,50513.48149,1
lmn,Lambadi,Indo-European,Indic,,,0,0.444444448,9,6000000,50420.38134,0
bum,Bulu,Niger-Congo,African-Savannah,1.685041189,8.143332481,0.482509047,0.5,2,858000,49898.42599,1
kpy,Koryak,Chukotko-Kamchatkan,N-Coast-Asia,,,0,0.571428597,7,3500,49205.16694,0
kat,Georgian,Kartvelian,Greater-Mesopotamia,1.86584568,9.877079964,,0.606571436,25,4016300,48713.92448,1
alt,Southern Altai,Altaic,Inner-Asia,1.762328148,10.76289177,,0,1,20000,48578.15669,1
ktz,Ju/'hoan,Khoisan,S-Africa,,,0,0.251666665,25,33600,48496.10273,0
hnj,Hmong Njua,Hmong-Mien,,,,0,0.143501982,24,210000,48436.05888,0
mlq,Western Maninkakan,Niger-Congo,African-Savannah,,,0,0.75,4,525300,48000.411,0
xav,Xavánte,Jean,NE-South-America,1.142972827,7.377924442,0,0.285714298,7,10000,46984.36991,0
gui,Eastern Bolivian Guaraní,Tupian,SE-South-America,1.256851673,7.937141418,0,0.75,1,51230,46866.15784,0
tig,Tigré,Afro-Asiatic,Greater-Abyssinia,,,0,0.464705884,17,1050000,45760.96808,0
dan,Danish,Indo-European,Europe,1.715617895,8.883909225,,0.392857134,14,5471000,45268.71238,1
slk,Slovak,Indo-European,Europe,1.998642683,10.05925751,0.247112155,,,4701800,45073.51898,1
suk,Sukuma,Niger-Congo,S-Africa,1.653489947,9.696881294,0,1,1,5430000,45017.42711,0
lea,Lega-Shabunda,Niger-Congo,S-Africa,,,0,0.800000012,5,400000,44384.50619,0
wol,Wolof,Niger-Congo,African-Savannah,1.776123881,8.950303078,0,0.264705896,17,3942000,44288.63566,0
lao,Lao,Tai-Kadai,Southeast-Asia,,,0.197350562,0.020833334,12,3149000,43798.73692,1
wba,Warao,Language-isolate,NE-South-America,,,0,0.654931962,21,33100,43614.98307,0
myu,Mundurukú,Tupian,NE-South-America,1.451919675,9.107859612,0,0.75,3,10100,43579.63386,0
bho,Bhojpuri,Indo-European,Indic,,,0.004039863,0.666666687,6,38210000,43331.48831,0
kjh,Khakas,Altaic,Inner-Asia,1.716101289,10.80171204,0,0.400000006,3,20010,43212.60618,0
apc,North Levantine Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,,0.850000024,6.5,13300000,43176.46394,1
car,Carib,Cariban,NE-South-America,1.329801559,9.21429348,0,0.602450967,17,7430,42506.85377,0
ksw,S'gaw Karen,Sino-Tibetan,Southeast-Asia,1.263038397,,0.051282052,0.040816326,7,1480000,42430.45187,1
sjd,Kildin Saami,Uralic,Inner-Asia,,,0,1,1,500,42372.37982,0
awa,Awadhi,Indo-European,Indic,2.006752968,9.177961349,0.014752713,,,38261000,42290.64936,0
loz,Lozi,Niger-Congo,S-Africa,1.540834188,8.210430145,,0.5,2,694000,41125.68437,1
kgk,Kaiwá,Tupian,SE-South-America,1.465365887,9.26709938,0,,,18510,40522.88654,0
sel,Selkup,Uralic,Inner-Asia,,,0,1,7,1640,40347.07696,0
min,Minangkabau,Austronesian,Southeast-Asia,1.339366198,8.695329666,0,0.090909094,11,5530000,39985.29333,0
xuu,Kxoe,Khoisan,S-Africa,,,0,0.666666687,3,6590,39510.61857,0
kde,Makonde,Niger-Congo,S-Africa,1.588351846,10.67759705,0,1,2,1340000,39203.35024,0
nse,Nsenga,Niger-Congo,S-Africa,,,0,0.666666687,3,752100,38534.97931,0
leh,Lenje,Niger-Congo,,1.446098447,10.65777588,0,,,156000,37702.18563,0
shy,Tachawit,Afro-Asiatic,N-Africa,,,0,1,1,1400000,37492.0848,0
lug,Ganda,Niger-Congo,S-Africa,,,0.15235889,0.770833313,12,4130000,37395.14961,1
guk,Gumuz,Nilo-Saharan,Greater-Abyssinia,2.161321163,10.45450497,0.019607844,0.78125,8,160000,37281.69059,0
gog,Gogo,Niger-Congo,,1.531060576,9.963962555,0,,,1440000,37274.57643,0
wca,Yanomámi,Yanomaman,NE-South-America,1.189683318,7.389423847,0,,,9000,37252.37909,0
sun,Sunda,Austronesian,Southeast-Asia,1.760443568,9.923578262,0,0.303571433,14,34000000,37177.76305,0
dip,Northeastern Dinka,Nilo-Saharan,,1.648870707,8.485248566,0,0.428571433,7,320000,37027.1053,0
hae,Eastern Oromo,Afro-Asiatic,S-Africa,1.61067152,10.21541309,0,0.486596107,27,4530000,36999.10685,0
are,Western Arrarnta,Australian,S-Australia,1.169815898,9.320161819,0,1,5,1000,36796.67371,0
hye,Armenian,Indo-European,Greater-Mesopotamia,1.813120246,10.20526123,,0.683218837,19,4684400,36780.92778,1
huu,Murui Huitoto,Witotoan,NE-South-America,1.348016143,9.562836647,0,0.833333313,6,7800,36727.15874,0
sat,Santali,Austro-Asiatic,Indic,,,0.000157549,0.777777791,9,6157300,36609.06545,0
plg,Pilagá,Guaykuruan,SE-South-America,1.293005824,8.713630676,0,0.699999988,10,4000,36555.29736,0
glg,Galician,Indo-European,Europe,,,,1,1,3185000,36502.37389,1
ssw,Swati,Niger-Congo,S-Africa,1.695986748,11.76096725,0.508022547,0.666666687,3,2034200,36491.09056,1
kam,Kamba,Niger-Congo,S-Africa,,,0.133541062,0.833333313,6,3960000,36187.21674,0
tum,Tumbuka,Niger-Congo,,1.483735085,9.724908829,0,,,1480000,35976.27738,0
pst,Central Pashto,Indo-European,Inner-Asia,,,0,0.59807694,13,7920000,35745.33482,0
ddj,Jaru,Australian,N-Australia,,,0,0.649999976,8,340,35570.14537,0
mkd,Macedonian,Indo-European,Europe,1.853761435,9.343263626,,0.333333343,6,1790000,35061.68764,1
adi,Adi,Sino-Tibetan,Indic,,,0,0.916666687,4,239090,34691.77181,0
mck,Mbunda,Niger-Congo,,1.374757171,9.649385452,0,,,291000,34672.47733,0
udm,Udmurt,Uralic,Inner-Asia,,,0,0.75,13,464000,34505.55199,0
yij,Yindjibarndi,Australian,S-Australia,,,0,0.777777791,9,330,34286.21048,0
yae,Pumé,Unclassified,NE-South-America,,,0,1,1,5840,34261.33167,0
mal,Malayalam,Dravidian,Indic,1.565055013,11.28446579,,0.574999988,10,35400313,33462.16139,1
agr,Aguaruna,Jivaroan,Andean,1.609276891,11.11311626,0,0,1,38300,33309.87173,0
ven,Venda,Niger-Congo,S-Africa,1.507324576,8.385190964,0.566402316,1,3,1064000,33300.77949,1
arz,Egyptian Spoken Arabic,Afro-Asiatic,N-Africa,1.67389369,11.57252884,,0.562967658,28,53410000,33298.79509,1
bba,Baatonum,Niger-Congo,African-Savannah,1.666523218,8.479182243,,,,560000,33159.01732,1
ach,Acholi,Nilo-Saharan,S-Africa,,,0,0.777777791,9,1215000,32855.77293,0
guc,Wayuu,Maipurean,NE-South-America,1.268773079,9.417921066,0,0.833333313,6,305000,32700.32631,0
aer,Eastern Arrernte,Australian,S-Australia,,,0,0.632936537,12,3820,32665.9081,0
yia,Yinggarda,Australian,S-Australia,,,0,0.796296299,9,5,32461.15818,0
shp,Shipibo-Conibo,Panoan,NE-South-America,1.440391898,9.715197563,0,0.555238068,20,26000,32383.0304,0
txu,Kayapó,Jean,NE-South-America,1.384214044,8.297281265,0,1,3,7100,32215.04106,0
ceb,Cebuano,Austronesian,Oceania,1.42755115,7.944181442,,0.472222209,9,15800000,31854.47102,1
mri,Maori,Austronesian,Oceania,1.414768815,7.219075203,0,0.1941358,27,60000,31775.98822,0
nij,Ngaju,Austronesian,Southeast-Asia,1.50835216,8.551531792,,,,890000,31470.93035,1
apu,Apurinã,Maipurean,NE-South-America,1.36331749,9.985337257,0,0.573015869,27,4087,31295.5603,0
tca,Ticuna,Language-isolate,NE-South-America,1.230236411,8.196481705,0,0.833333313,6,48600,30570.1754,0
